specialty,hospital,age_group,waiting_over_12m,total_waiting,pct_over_12m
Cardiology,St. Vincent's University Hospital,Adult,345,2382,14.5
Cardiology,Tallaght University Hospital,Adult,97,2149,4.5
Cardiology,Tipperary University Hospital,Adult,218,1241,17.6
Cardiology,University Hospital Kerry,Adult,251,1361,18.4
Cardiology,University Hospital Limerick,Adult,867,3044,28.5
Cardiology,University Hospital Waterford,Adult,1023,2608,39.2
Cardiology,Wexford General Hospital,Adult,313,1356,23.1
Chemical Pathology,Galway University Hospitals,Adult,128,246,52.0
Chemical Pathology,Tallaght University Hospital,Adult,1,150,0.7
Clinical (Medical) Genetics,Children's Health Ireland,Child,2,21,9.5
Clinical (Medical) Genetics,St. James's Hospital,Adult,1917,3430,55.9
Clinical Immunology,Beaumont Hospital,Adult,492,1442,34.1
Clinical Immunology,Children's Health Ireland,Child,132,832,15.9
Clinical Immunology,Galway University Hospitals,Adult,359,985,36.4
Clinical Immunology,Galway University Hospitals,Child,2,21,9.5
Clinical Immunology,St. James's Hospital,Adult,510,1790,28.5
Dental Surgery,Children's Health Ireland,Child,41,283,14.5
Dermatology,Bantry General Hospital,Adult,0,267,0.0
Dermatology,Beaumont Hospital,Adult,800,5242,15.3
Dermatology,Connolly Hospital Blanchardstown,Adult,386,713,54.1
Dermatology,Cork University Hospital,Adult,0,22,0.0
Dermatology,Cork University Hospital,Child,7,30,23.3
Dermatology,Galway University Hospitals,Adult,1372,3444,39.8
Dermatology,Galway University Hospitals,Child,266,754,35.3
Dermatology,Letterkenny University Hospital,Adult,1,546,0.2
Dermatology,Letterkenny University Hospital,Child,0,50,0.0
Dermatology,Mallow General Hospital,Adult,91,395,23.0
Dermatology,Mallow General Hospital,Child,4,22,18.2
Dermatology,Mater Misericordiae University Hospital,Adult,604,4650,13.0
Dermatology,Mayo University Hospital,Adult,138,492,28.0
Dermatology,Mayo University Hospital,Child,29,100,29.0
Dermatology,Midland Regional Hospital Mullingar,Adult,437,927,47.1
Dermatology,Midland Regional Hospital Mullingar,Child,56,163,34.4
